Workload,Operation,ResultStatus,dataset_name,action
AzureActiveDirectory,ForeignRealmIndexLogonInitialAuthUsingADFSFederatedToken,success,authentication,success
AzureActiveDirectory,PasswordLogonCookieCopyUsingDAToken,success,authentication,success
AzureActiveDirectory,PasswordLogonInitialAuthUsingADFSFederatedToken,success,authentication,success
AzureActiveDirectory,PasswordLogonInitialAuthUsingPassword,success,authentication,success
AzureActiveDirectory,ForeignRealmIndexLogonInitialAuthUsingADFSFederatedToken,failed,authentication,failure
AzureActiveDirectory,PasswordLogonCookieCopyUsingDAToken,failed,authentication,failure
AzureActiveDirectory,PasswordLogonInitialAuthUsingADFSFederatedToken,failed,authentication,failure
AzureActiveDirectory,PasswordLogonInitialAuthUsingPassword,failed,authentication,failure
AzureActiveDirectory,UserLoginFailed,failed,authentication,failure
AzureActiveDirectory,UserLoggedIn,succeeded,authentication,success
AzureActiveDirectory,Succeeded,success,authentication,success
